activity_id,date,name,description,distance_km,moving_time_min,pace_min_per_km,elevation_gain_m,relative_effort,notes
19951264531,2026-08-28,Evening Run,,5.006,47.40,9.47,10.0,8,easy/recovery pace
19926627435,2026-08-27,Evening Run,,5.021,25.80,5.14,8.0,73,fast effort; 18 PRs
19870439544,2026-08-23,Evening Run,,15.040,88.97,5.92,27.1,101,longest run so far (long run)
19782220522,2026-08-17,Afternoon Run,,5.029,27.03,5.38,9.0,59,
19744401663,2026-08-14,Night Run,"Flu + testing foot post injury",2.453,11.57,4.71,17.2,31,short; recovering from flu/foot niggle
19576342780,2026-08-02,12km Night Run,"First run over 5km, got bored at the end so had to ramp it up",12.052,87.18,7.23,45.0,28,first double-digit km run
19533973481,2026-07-30,Night Run,,1.017,6.28,6.18,4.9,6,short
19533843501,2026-07-30,Quick 2k POOSHH,,2.029,9.33,4.60,13.5,23,fast short effort
19491730906,2026-07-27,Night Run,,5.018,34.07,6.79,26.5,26,
19395093601,2026-07-20,Easy 5 km,"Target was 7:00-7:30/km but couldn't help it. 2nd 5k complete",5.004,28.47,5.69,17.5,,2nd ever 5k
18935526317,2026-06-15,Night Run,,5.064,35.00,6.91,41.4,31,first logged run in this block
